metric,mean,ci_lower,ci_upper
precision,0.8574252812935556,0.6874177631578947,1.0
recall,0.5825136931647872,0.4,0.7575757575757576
f1,0.6893233712192405,0.5365635888501743,0.8214285714285714
roc_auc,0.923847517182412,0.8515190647373941,0.9755045389669647
mae,0.009255445555711258,0.007806811813234406,0.010988980031046626
mse,0.0002912403005129944,0.00016908305115993983,0.00044682527137969804
rmse,0.0169352360204432,0.013003180352950065,0.021138241804292263
medape,33.91078016438248,29.834511943038883,37.897028634727796
mape,59.92401326801388,51.84667203403119,67.66606470248102
